epoch,step,name,value
1,1,loss,20.726499557495117
1,101,loss,6.017310619354248
1,201,loss,5.3810553550720215
1,301,loss,4.688871383666992
1,401,loss,5.955399513244629
1,501,loss,5.795899391174316
1,601,loss,4.193116188049316
1,701,loss,5.673879146575928
1,801,loss,4.5536274909973145
1,901,loss,5.8311238288879395
1,1001,loss,5.0612969398498535
2,1,loss,4.4920973777771
2,101,loss,6.391923904418945
2,201,loss,5.670886516571045
2,301,loss,4.294328689575195
2,401,loss,5.04718017578125
2,501,loss,4.587069034576416
2,601,loss,5.57122802734375
2,701,loss,5.494917869567871
2,801,loss,6.036046981811523
2,901,loss,4.086378574371338
2,1001,loss,4.160580158233643
3,1,loss,6.336331367492676
3,101,loss,7.640583515167236
3,201,loss,6.0948076248168945
3,301,loss,3.2209153175354004
3,401,loss,4.215445518493652
3,501,loss,2.491603136062622
3,601,loss,6.486218452453613
3,701,loss,4.460814952850342
3,801,loss,5.580186367034912
3,901,loss,3.7857258319854736
3,1001,loss,2.239924669265747
4,1,loss,4.476105690002441
4,101,loss,5.634609699249268
4,201,loss,7.62656307220459
4,301,loss,6.364105224609375
4,401,loss,4.303825855255127
4,501,loss,5.0386738777160645
4,601,loss,4.305136203765869
4,701,loss,4.41254186630249
4,801,loss,5.925871849060059
4,901,loss,2.2978713512420654
4,1001,loss,4.777044773101807
5,1,loss,3.717200756072998
5,101,loss,3.5037622451782227
5,201,loss,1.4391396045684814
5,301,loss,3.1909635066986084
5,401,loss,5.9314188957214355
5,501,loss,5.104363918304443
5,601,loss,3.572080135345459
5,701,loss,4.727075099945068
5,801,loss,4.91424036026001
5,901,loss,8.129422187805176
5,1001,loss,8.71712875366211
6,1,loss,8.140364646911621
6,101,loss,10.558030128479004
6,201,loss,9.219196319580078
6,301,loss,10.367815971374512
6,401,loss,9.068984031677246
6,501,loss,9.34567928314209
6,601,loss,9.26562786102295
6,701,loss,10.011860847473145
6,801,loss,10.045985221862793
6,901,loss,8.362844467163086
6,1001,loss,8.847686767578125
7,1,loss,9.23642635345459
7,101,loss,9.21498966217041
7,201,loss,10.051751136779785
7,301,loss,8.974217414855957
7,401,loss,9.487357139587402
7,501,loss,9.484945297241211
7,601,loss,8.781262397766113
7,701,loss,8.922237396240234
7,801,loss,9.026580810546875
7,901,loss,9.918943405151367
7,1001,loss,8.076203346252441
8,1,loss,9.539603233337402
8,101,loss,9.377498626708984
8,201,loss,8.631301879882812
8,301,loss,9.04132080078125
8,401,loss,9.658477783203125
8,501,loss,10.086877822875977
8,601,loss,9.923307418823242
8,701,loss,8.224581718444824
8,801,loss,9.139636993408203
8,901,loss,9.059993743896484
8,1001,loss,8.158940315246582
9,1,loss,9.083172798156738
9,101,loss,8.518938064575195
9,201,loss,8.341241836547852
9,301,loss,9.47354793548584
9,401,loss,9.652055740356445
9,501,loss,10.381742477416992
9,601,loss,10.025097846984863
9,701,loss,9.052084922790527
9,801,loss,8.879103660583496
9,901,loss,8.960140228271484
9,1001,loss,8.874330520629883
